Siren;Responsable;Adresse;Code_Postal;Ville;NAF;TypeCIL;Portee;Location;Adress generated;Latitude;Longitude
513676064;ACCENSO;4 BIS RUE GABRIEL¨PERI PROLONGEE BP 4;26301;BOURG DE PEAGE;6910Z Activités juridiques;PROFESSIONNEL;Etendue;4 BIS RUE GABRIEL¨PERI PROLONGEE BP 4 26301 BOURG DE PEAGE;26301 BOURG DE PEAGE;51.125304;0.001747
390104982;ADMR  VILLERS SUR MER;10 RUE BOULARD ;14640;VILLERS SUR MER;8810A Action sociale sans hébergement pour personnes âgées et pour personnes handicapées;PROFESSIONNEL;Etendue;10 RUE BOULARD  VILLERS SUR MER;10 RUE BOULARD  VILLERS SUR MER;49.321429;-0.004824
411804750;MAITRE ANNE BERNARD-BIGOUIN;50, AVENUE D'AQUITAINE BP N° 5;24490;LA ROCHE CHALAIS;741A Activités juridiques, comptables et de conseil de gestion;PROFESSIONNEL;Etendue;50, AVENUE D'AQUITAINE BP N° 5 LA ROCHE CHALAIS;50, AVENUE D'AQUITAINE BP N° 5 LA ROCHE CHALAIS;45.152472;0.006871
323648832;A.D.M.R. BAREGES;MAISON GRADET  AVENUE DE SAINT SAUVEUR ;65120;LUZ ST SAUVEUR;8810A Action sociale sans hébergement pour personnes âgées et pour personnes handicapées;PROFESSIONNEL;Etendue;MAISON GRADET  AVENUE DE SAINT SAUVEUR  LUZ ST SAUVEUR;MAISON GRADET  AVENUE DE SAINT SAUVEUR  LUZ ST SAUVEUR;42.869832;-0.008821
781153754;ADMR D'AIGRE;10 RUE DU PONT RAYMOND ;16140;AIGRE;8810A Action sociale sans hébergement pour personnes âgées et pour personnes handicapées;PROFESSIONNEL;Etendue;10 RUE DU PONT RAYMOND  AIGRE;10 RUE DU PONT RAYMOND  AIGRE;45.89394;0.00908
312928187;FILLON GERARD NOTAIRE;1, PLACE DU MARCHE ;79120;LEZAY;741A Activités juridiques, comptables et de conseil de gestion;PROFESSIONNEL;Etendue;1, PLACE DU MARCHE  LEZAY;1, PLACE DU MARCHE  LEZAY;46.264677;-0.009143
478036759;ETUDE DE MAITRE BEGEAULT-BAZIRE PATRICIA;11 RUE DES PONTS BP4;16140;AIGRE;741A Activités juridiques, comptables et de conseil de gestion;PROFESSIONNEL;Etendue;11 RUE DES PONTS BP4 16140 AIGRE;11 RUE DES PONTS  16140 AIGRE;45.894809;0.01219
452700321;SSIAD OSSUN;2 PL DES BATTERES ;65380;LANNE;8690D Autres activités pour la santé humaine;PROFESSIONNEL;Etendue;2 PL DES BATTERES  LANNE;2 PL DES BATTERES  LANNE;43.166201;0.014979
323327155;ADMR CONLIE;MAIRIE ;72240;CONLIE;8899B Autre action sociale sans hébergement;PROFESSIONNEL;Etendue;MAIRIE  CONLIE;MAIRIE  CONLIE;48.121999;-0.016529
781541115;ADMR DE MONCONTOUR;4 PL DU SOUVENIR FRANCAIS ;86330;MONCONTOUR;8810A Action sociale sans hébergement pour personnes âgées et pour personnes handicapées;PROFESSIONNEL;Etendue;4 PL DU SOUVENIR FRANCAIS  MONCONTOUR;4 PL DU SOUVENIR FRANCAIS  MONCONTOUR;46.881404;-0.017454
